title,publish_date,text
Times of India RSS Feeds,,"RSS is a way of providing content to the user's browser or desktop in an efficient way. By using RSS feeds, the user can stay updated on the news from TOI and other news sources with little extra effort.



RSS (Really Simple Syndication) feeds are normally provided in three ways: headlines only, headlines with excerpts and full text feeds. TOI provides you headlines with excerpts, for free.



TOI grants you permission to only access and make personal use of its RSS feeds and you agree not to, directly or indirectly, download, modify, alter, change, amend, vary, transform, revise, translate, copy, publish, distribute or otherwise disseminate these RSS feeds, or any portion of these — except with the express consent of Times Internet Ltd (TIL). TIL forbids you from any attempts at displaying, hosting, aggregating, reselling or putting to commercial use either directly or indirectly TIL's RSS feeds or any part of the same.



You must not retain any copies of these pages saved to disk or to any other storage medium except for the purposes of using the same for your individual/personal use

The Times Of India Feeds

»

Sectionwise Feeds

»

»

»

»

»"
"IPL 2020, RR vs MI: Ben Stokes, Sanju Samson star as Rajasthan Royals beat Mumbai Indians by 8 wickets",,Rajasthan did not start well with the bat as they lost Uthappa early and Smith did not last long as well. There would have been alarm bells ringing as Stokes was not in good form coming into this game just like Samson but they proved everyone wrong as Stokes was magnificent as he reached his century and took Rajasthan home. It was just mesmerizing to watch as he took the bowlers apart. This is the Stokes that we all have come to know and Rajasthan would hope that he continues to perform like this in their upcoming games. The thing that would have pleased them would have been Sanju Samson. He gave himself time at the start and then found the boundaries at will. He gave able support to Stokes and they ended up on the winning side. Very rarely do you see such a big score chased down by Rajasthan without Jos Buttler being in the thick of things.
IPL 2020 Points Table: ​Updated IPL points table after RR vs RCB match,,"POINTS TABLE

RANK TEAM P W L N/R NET RR POINTS 1. Mumbai Indians 11 7 4 0 +1.252 14 2. Delhi Capitals 11 7 4 0 +0.434 14 3. Royal Challengers Bangalore 11 7 4 0 +0.092 14 4. Kings XI Punjab

12 6 6 0 -0.049

12 5. Kolkata Knight Riders 12 6 6 0 -0.479 12 6. Rajasthan Royals 12 5 7 0 -0.505 10 7. Sunrisers Hyderabad 11 4 7 0 +0.029

8 8. Chennai Super Kings 12 4 8 0 -0.602 8

The 13th edition of the Indian Premier League started with a bang on September 19 with defending champions Mumbai Indians losing to three-time winners Chennai Super Kings in Abu Dhabi in the opening match of the 2020 edition.The format remains the same with each of the eight teams playing against each other . Two points will be awarded to the winner of each match while one point is awarded to either team in case of no result. The result will be decided via a 'Super Over' in case of a tie.The top four teams in the standings will qualify for the knock-outs. The top two teams will lock horns in the Qualifier 1 and the winner goes straight into the Final.The loser of Qualifier 1 waits for the result of the Eliminator, which will be played between the third and fourth placed teams, and then play the winner of that in Qualifier 2 for a place in the Final."
"Orange Cap in IPL 2020: Kagiso Rabada, KL Rahul hold on to Purple and Orange Caps respectively",,"ORANGE CAP

RANK PLAYER TEAM MAT RUNS HS 100 50 1. KL Rahul KXIP 12 595

132* 1 5 2. Shikhar Dhawan DC 12 471 106* 2 2 3. David Warner SRH 12 436 66 0 3 4. Virat Kohli RCB 11 415 90* 0 3 5. Faf du Plessis CSK 12 401 87* 0 4

PURPLE CAP

RANK PLAYER TEAM MAT WKTS BBI ECON 1. Kagiso Rabada DC 12 23 4/24 8.13

2. Mohammed Shami KXIP 12 20 3/15 8.46 3. Rashid Khan SRH 12 17 3/7 5.00 4. Jofra Archer RR 12 17 3/19 6.71 5. Jasprit Bumrah MI 11 17 4/20 7.52

NEW DELHI: Kings XI Punjab skipper KL Rahul continues to lead the most runs chart to hold on to the Orange Cap after 47 matches of the 13th edition of the Indian Premier League .While, Delhi Capitals' pace spearhead Kagiso Rabada also continues to hold on to the Purple Cap with 23 scalps from 12 matches.Rahul is sitting right at the top with 595 runs to his name after playing 12 matches. Shikhar Dhawan (471 runs) climbs up to the second spot courtesy back-to-back hundreds. Sunrisers Hyderabad captain David Warner plays 66-run knock against Delhi Capitals to dislodge Royal Challengers Bangalore skipper Virat Kohli from third place.Kings XI Punjab pacer Mohammed Shami (20 wickets) climbs up to the second spot after taking three wickets against Kolkata Knight Riders on Monday. Rashid Khan's brilliant spell of 4-07-3 lifts him to the third spot. Rajasthan Royals' Jofra Archer (17) is ahead of Mumbai Indians' Jasprit Bumrah (17) on the basis of better economy rate."
Coronavirus symptoms and precautions: All you need to know,,"What is coronavirus?

Coronaviruses (CoV) are a large family of viruses that cause illness ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV). A novel coronavirus (nCoV) is a new strain that has not been previously identified in humans. What are zoonotic?

Coronaviruses are zoonotic, meaning they are transmitted between animals and people. Detailed investigations found that SARS-CoV was transmitted from civet cats to humans and MERS-CoV from dromedary camels to humans. Several known coronaviruses are circulating in animals that have not yet infected humans. What are the signs of infections?

Common signs of infection include respiratory symptoms, fever, cough, shortness of breath and breathing difficulties. In more severe cases, the infection can cause pneumonia, severe acute respiratory syndrome, kidney failure and even death. How to prevent infection from spreading?

Standard recommendations to prevent infection spread include regular hand washing, covering mouth and nose when coughing and sneezing, thoroughly cooking meat and eggs. Avoid close contact with anyone showing symptoms of respiratory illness such as coughing and sneezing. Avoid touching your eyes, nose, and mouth. Stay home when you are sick. Clean and disinfect frequently touched objects and surfaces using a regular household cleaning spray or wipe. Who should wear a facemask?

It is not necessary for people who are well to wear a facemask to protect themselves from respiratory diseases. Facemasks should be used by people who show symptoms of COVID-19 to help prevent the spread of the disease to others, Centre for Disease Control and Prevention said. What is the treatment for novel coronavirus?

There is no specific antiviral treatment recommended for COVID-19. People with COVID-19 should receive supportive care to help relieve symptoms. For severe cases, treatment should include care to support vital organ functions. People who think they may have been exposed to COVID-19 should contact their healthcare provider immediately.

Here is a list of dos and don'ts issued by the government to stall the spread of the virus in the country —

Do's

Cover your nose and mouth with disposable tissue or handkerchief

Frequently wash your hands with soap and water

Avoid crowded places

Person suffering from Influenza like illness must be confined at home

Stay more than one arm's length distance from persons sick with flu

Take adequate sleep and rest

Drink plenty of water/liquids and eat nutritious food

Person suspected with Influenza like illness must consult doctor

Don'ts

Touching eyes, nose or mouth with unwashed hands while coughing or sneezing

Hugging, kissing and shaking hands while greeting

Spitting in public places

Taking medicines without consulting doctor

Disposal of used napkin or tissue paper in open areas

Touching surfaces usually used by public (railing, door, gates, etc)

NEW DELHI: The novel coronavirus is now spreading much more rapidly outside China than within the country, leading the world into uncharted territory, but the outbreak can still be contained, the World Health Organization said on Monday. The virus has so far claimed over 3,000 lives and there are over 90,000 confirmed cases."
India News - Times of India,,"PM Modi assures to fight climate change, says India has one of lowest carbon emissions in world"
Coronavirus India live updates: Lockdown extended in containment zones till November 30,,"Health secretary Rajesh Bhushan, said that it has been observed that states and union territories like Kerala, West Bengal, Maharashtra, Karnataka and Delhi have reported rise in cases during the festival season.

He further added, ""It is mandatory for all of us to follow Covid-19 appropriate behaviour in the festival season."""
Coronavirus cases in India: Sharpest weekly drop in Covid numbers,,"Sixth straight week of decline in fresh Covid cases in India

NEW DELHI: In the steepest weekly fall yet in Covid-19 numbers in India, fresh infections recorded this week (October 19-25) were nearly 16% less than the previous week’s tally while deaths from the virus fell by 19% during this period.India recorded just over 3.6 lakh fresh cases during the week, the lowest in absolute terms in three months (since 3.2 lakh were detected in the July 20-26 week), as per data collated from state governments.This marked a drop of 15.7% from the previous week’s numbers, the sharpest weekly fall in cases since the pandemic hit India. Last week, nearly 4.3 lakh cases were recorded in the country.This was the sixth straight week of decline in fresh Covid-19 cases from the peak of 6,45,014 infections reported during September 7-13, indicating a sustained reduction in the pandemic’s spread in India.Meanwhile, India achieved another positive milestone when the number of recoveries crossed 90% of all cases on Sunday. Close to 71.3 lakh people have now recovered from the infection, out of a total caseload so far of 79.1 lakh, as per TOI’s database. Deaths from the virus were down 19% from last week’s toll. This week India recorded just over 4,400 fatalities due to Covid-19, as compared with 5,455 last week. Deaths too have been declining for five consecutive weeks since peaking at 8,175 during September 14-20.Last week (October 12-18) had seen a 13.3% fall in fresh cases and a 15.9% drop in fatalities, the highest weekly fall till then. The fall in daily cases continued, with 46,135 fresh infections recorded on Sunday. This was the lowest daily tally of cases (not counting Mondays when the numbers fall due to other reasons) in 95 days since 38,444 cases were reported on July 21. Sunday’s death toll, at 489, was also the lowest daily fatalities in 108 days since July 9.Numbers fell in almost all states on Sunday, which also coincided with festivals of Dussehra and Durga Puja. Delhi was an exception, recording 4,136 fresh cases, the highest in 38 days. This is despite the fact that there has been no drop in testing. Karnataka became the third state in the country to record 8 lakh Covid-19 cases. It reached the grim milestone with 4,439 fresh cases taking the total to 8,02,813 on Sunday. Gujarat added 919 new cases, taking the total to 1.67 lakh. The new cases in Gujarat included 227 from Surat, 174 from Ahmedabad, 115 from Vadodara, and 97 from Rajkot."
Coronavirus vaccine storage issues could leave 3 billion people without access,,"GAMPELA, BURKINA FASO: The chain breaks here, in a tiny medical clinic in Burkina Faso that went nearly a year without a working refrigerator.From factory to syringe, the world's most promising coronavirus vaccine candidates need non-stop sterile refrigeration to stay potent and safe. But despite enormous strides in equipping developing countries to maintain the vaccine ""cold chain,"" nearly 3 billion of the world's 7.8 billion people live where temperature-controlled storage is insufficient for an immunization campaign to bring Covid-19 under control.The result: Poor people around the world who were among the hardest hit by the virus pandemic are also likely to be the last to recover from it.The vaccine cold chain hurdle is just the latest disparity of the pandemic weighted against the poor, who more often live and work in crowded conditions that allow the virus to spread, have little access to medical oxygen that is vital to Covid-19 treatment, and whose health systems lack labs, supplies or technicians to carry out large-scale testing.Maintaining the cold chain for coronavirus vaccines won't be easy even in the richest of countries, especially when it comes to those that require ultracold temperatures of around minus 70 degrees Celsius (minus 94 F). Investment in infrastructure and cooling technology lags behind the high-speed leap that vaccine development has taken this year due to the virus.With the pandemic now in its eighth month, logistics experts warn that vast parts of the world lack the refrigeration to administer an effective vaccination program. This includes most of Central Asia, much of India and southeast Asia, Latin America except for the largest countries, and all but a tiny corner of Africa.The medical clinic outside Burkina Faso's capital, a dirt-streaked building that serves a population of 11,000, is a microcosm of the obstacles.After its refrigerator broke last fall, the clinic could no longer keep vaccines against tetanus, yellow fever, tuberculosis and other common diseases on site, nurse Julienne Zoungrana said. Staff instead used motorbikes to fetch vials in insulated carriers from a hospital in Ouagadougou, making a 40-minute round-trip drive on a narrow road that varies between dirt, gravel and pavement.A mother of two who visits the Gampela clinic says she thinks a coronavirus inoculation program will be challenging in her part of the world. Adama Tapsoba, 24, walks four hours under scorching sun to get her baby his routine immunizations and often waits hours more to see a doctor. A week earlier, her 5-month-old son had missed a scheduled shot because Tapsoba's daughter was sick and she could only bring one child on foot.""It will be hard to get a (COIVD-19) vaccine,"" Tapsoba said, bouncing her 5-month-old son on her lap outside the clinic. ""People will have to wait at the hospital, and they might leave without getting it.""To uphold the cold chain in developing nations, international organizations have overseen the installation of tens of thousands of solar-powered vaccine refrigerators. Keeping vaccines at stable temperatures from the time they are made until they are given to patients also requires mobile refrigeration, reliable electricity, sound roads and, above all, advance planning.For poor countries like Burkina Faso, the best chance of receiving a coronavirus vaccine is through the Covax initiative, led by the World Health Organization and the Gavi vaccine alliance. The goal of Covax is to place orders for multiple promising vaccine candidates and to allocate the successful ones equitably.The United Nations' children's agency, UNICEF, began laying the global distribution groundwork months ago, in Copenhagen. At the world's largest humanitarian aid warehouse, logistics staff are trying to foresee shortages by learning from the past, especially the spring chaos surrounding global shortages of masks and other protective gear that were commandeered off airport tarmacs or stolen and traded on the black market.Currently, 42 coronavirus vaccine candidates are in clinical trials and another 151 are in pre-clinical evaluation, according to WHO. The ones most likely to end up in the Covax mix must be stored at 2 to 8 degrees Celsius (25-46 F).A Pfizer candidate is among the ones in advanced testing requiring storage at ultracold temperatures. The company, which has designed a special carrying case for its vaccine, has expressed interest in Covax and signed contracts with the United States, Europe and Japan.Medical freezers that go down to minus 70 degrees Celsius are rare even in US and European hospitals. Many experts believe the West African countries that suffered through a 2014-16 Ebola outbreak may be the best positioned, because a vaccine against that virus also requires ultracold storage.For more than two-thirds of the world, however, the advanced technology is nowhere on the horizon, according to a study by German logistics company DHL. Meanwhile, billions of people are in countries that don't have the necessary infrastructure to maintain the cold chain for either existing vaccines or more conventional coronavirus candidates, the study said.Opportunities for vaccines to be lost expand the farther a vaccine travels. DHL estimated that 15,000 cargo flights would be required to vaccinate the entire planet against Covid-19, stretching global capacity for aircraft and potentially supplies of materials such as dry ice.""We need to find a bridge"" for every gap in the cold chain, DHL chief commercial officer Katja Busch said. ""We're talking about investments ... as a society, this is something we have to do.""Gavi and UNICEF worked before the pandemic to supply much of Africa and Asia with refrigeration for vaccines, fitting out 40,000 facilities since 2017. UNICEF is now offering governments a checklist of what they will need to maintain a vaccine supply chain and asking them to develop a plan.""The governments are in charge of what needs to happen in the end,"" said Benjamin Schreiber, who is among the directors of UNICEF's vaccination program.Cracks in the global cold chain start once vaccines leave the factory. Container ships are not equipped to refrigerate pharmaceutical products with a limited shelf life. Shipping vaccines by air costs a lot more, and air cargo traffic is only now rebounding from pandemic-related border closures.Even when flights are cold and frequent enough, air freight carries other potential hazards. WHO estimates that as much as half of vaccines globally are lost to wastage, sometimes due to heat exposure or vials breaking while in transit. With coronavirus vaccines, which will be one of the world's most sought-after products, theft is also a danger.""They can't be left on a tarmac and fought over because they would actually be spoiled and they would have no value, or worse still, people would still be trying to distribute them,"" said Glyn Hughes, the global head of cargo for the International Air Transport Association.Tinglong Dai, a Johns Hopkins University researcher who specializes in health care logistics, said creativity will be needed to keep the cold chain intact while coronavirus vaccines are distributed on a global scale. Gavi and UNICEF have experimented with delivering vaccines by drone. Indian officials have floated the idea of setting aside part of the country's vast food storage network for the coronavirus vaccines.""If people can figure out how to transport ice cream, they can transport vaccines,"" Dai said.Temperature-sensitive labels that change color when a vaccine is exposed to heat too long and no longer safe to use, and live delivery tracking to ensure vaccines reach their destinations as intended also have allowed for progress in delivering safe shots.Yet chances for something to go wrong multiply on the ground as vaccines are prepped to leave national depots. Since the cold chain is so fragile, logistics planning is crucial; syringes and disposal boxes must be available as soon as vaccine shipments arrive.By the end of the year, UNICEF expects to have 520 million syringes pre-positioned for coronavirus vaccines in the developing world and maps of where the refrigeration needs are greatest ""to ensure that these supplies arrive in countries by the time the vaccines do,"" Executive Director Henrietta Fore said.The last vaccine requiring cold storage that India's national program adopted was for rotavirus, a stomach bug that typically affects babies and young children. Dr Gagandeep Kang, who led the research for that vaccine, estimated that India has about 30% less storage capacity than it would need for a coronavirus vaccine.In countries such as India and Burkina Faso, a lack of public transportation presents another obstacle to getting citizens inoculated before vaccines go bad.Dr. Aquinas Edassery, who runs two clinics in one of India's poorest and least developed regions, said patients must walk for hours to receive health care. The trip on a single road that winds 86 kilometers (53 miles) over steep hills and washes out for months at a time will pose an insurmountable barrier for many residents of the eastern district of Rayagada, Edassery said.As with most logistics, the last kilometer (mile) is the hardest part of delivering a coronavirus vaccine to the people who need it. In Latin America, perhaps nowhere more than Venezuela provides a glimpse into how the vaccine cold chain could go dramatically off course.When a blackout last year left much of the nation in the dark for a week, doctors in several parts of Venezuela reported losing stocks of vaccines. The country's largest children's hospital had to discard thousands of doses of vaccines for illnesses like diphtheria, according to Dr. Huniades Urbina, head of the Venezuelan Society of Childcare and Pediatrics.""We won't be able to halt either the coronavirus or measles,"" Urbina said.Preserving the cold chain has only grown more difficult since then. Gas shortages limit the ability to move vaccines quickly from one part of Venezuela to another. Dry ice to keep vaccines cool during transport is harder to find. And after years of economic decline, there also are fewer doctors and other professionals trained to keep the chain intact.""I'm not optimistic on how the vaccine would be distributed in the inner states because there is no infrastructure of any kind to guarantee delivery — or if it gets delivered, guarantees the adequate preservation under cold conditions,"" Dr Alberto Paniz-Mondolfi, a Venezuelan pathologist, said.Venezuela presents an extreme example, but a coronavirus vaccine also is likely to test parts of Latin America with more robust health care systems. In Peru, private businesses that typically transport fish and beef have offered their trucks, though it remains unclear whether the Health Ministry will accept.Back in Burkina Faso, vaccination days became an ordeal at the Gampela clinic when the refrigerator went out, said Zoungrana, the nurse. Staff members on hospital courier runs must buy fuel they often can't afford and make a second trip to and from the capital to return any unused doses.""We're suffering,"" said Zoungrana, who was run off the road on her motorbike just a few weeks ago.Days after journalists from The Associated Press visited the clinic this month, a long-awaited solar refrigerator arrived. With technicians in short supply, the clinic was waiting to be sure the appliance would function properly before stocking it with vaccines.Nationwide, Burkina Faso is about 1,000 clinical refrigerators short, and less than 40% of the health facilities that conduct vaccinations have reliable fridges, national vaccination director Issa Ouedraogo said.Multi-dose vials — the equivalent of bulk storage for vaccines — can drastically reduce global transportation costs. But once a vial is opened, its shelf life counts down even faster; if too few people show up for their jabs in time, whatever remains in the larger vials must be discarded.""It's really upsetting to have wastage like that. It'll result in loss of lives and pain and suffering. It's a waste of resources, "" said University of Massachusetts at Amherst professor Anna Nagurney, who studies supply chain logistics.For now, UNICEF is betting on 20-dose vials of coronavirus vaccine and hoping that the amount wasted will stay below 3% for closed vials and 15% for open multi-dose vials that do not get used up, according to Michelle Siedel, one of the UN agency's cold chain experts.If Burkina Faso were given 1 million doses of a coronavirus vaccine today, the country wouldn't be able to handle it, Jean-Claude Mubalama, UNICEF's head of health and nutrition for the African nation.""If we had to vaccinate against the coronavirus now, at this moment, it would be impossible,"" he said."
"Flipkart Big Diwali Sale: Flipkart Big Diwali Sale starts October 29, to offer discount on smartphones from Poco, Realme, Oppo and more",,"Walmart-owned Flipkart has announced the Big Diwali Sale. The upcoming sale will start on October 29 on the e-... Read More

Walmart-owned Flipkart has announced yet another festive sale on its platform. Called the Big Diwali Sale , it will start on October 29 on the e-tailer’s platform and will continue till November 4. As part of the six-day long sale, the online seller will give a 10% instant discount on Axis Bank credit and debit card purchases, including the EMI transactions.

As always, Flipkart Plus members will be able to access the sale early at 12am midnight on October 29. For all users, the sale will kickstart at 12pm. In the sale, buyers can avail easy purchase options like non-cost EMI on Bajaj FinServ in addition to other leading banks cards. In the sale, EMI buying facility will also be available on select banks’ debit cards.

As revealed on the Flipkart website, smartphones from brands including Poco , Realme , Oppo will be available with discount during the sale days. Mobile protection will start at Re 1 along with exchange discounts.

The sale will offer electronics and other accessories with up to 80% off. In the Big Diwali sale, tablets will be up for purchase with up to 45% discount. Laptops , on the other hand, will sell with up to 50% off. Buyers will get up to 80% off on headphones, speakers, TVs and other home appliances. There will be offers on other products like fashion and home decor as well.

"
