word,cosine_distance
antra,0.27094417810440063
step,0.26427051424980164
combined,0.2526133358478546
golf,0.23790223896503448
registers,0.2359263151884079
discuss,0.23043645918369293
style,0.230284184217453
experiences,0.22934304177761078
14s,0.2288285195827484
papped,0.2259349375963211
shoots,0.2216668725013733
25079,0.21558275818824768
based,0.21261344850063324
breakfast,0.21049393713474274
dos,0.20954346656799316
marks,0.20825611054897308
uppcl,0.20763561129570007
images,0.20694202184677124
index,0.20438741147518158
off,0.20301061868667603
classifieds,0.20219291746616364
jugal,0.20132385194301605
four,0.1981394737958908
crazy,0.1975235491991043
october,0.19648125767707825
death,0.19554200768470764
dies,0.19449102878570557
replaces,0.19371113181114197
would,0.19247758388519287
bishorjon,0.1920032799243927
sooner,0.19129185378551483
years,0.1910707652568817
independence,0.1908280849456787
gym,0.19033244252204895
3b,0.18933723866939545
humour,0.1880696415901184
%,0.18802636861801147
nominated,0.18758046627044678
prepares,0.18748857080936432
wellversed,0.18739573657512665
who,0.1858525276184082
affected,0.18561844527721405
weaves,0.18505540490150452
prequalification,0.1831197440624237
quotient,0.18270257115364075
chemistry,0.1820974498987198
sarab,0.1816055029630661
reaches,0.18121740221977234
salmans,0.1809159219264984
surfaces,0.17987118661403656
sensex,0.17977143824100494
bump,0.1788078397512436
navaratri,0.17848846316337585
berth,0.17828848958015442
nahi,0.17800520360469818
features,0.17748865485191345
rises,0.17676152288913727
engagement,0.17533446848392487
towards,0.17516273260116577
supporting,0.1750163733959198
newspaper,0.17432545125484467
manchester,0.17396816611289978
phaseiii,0.1714114397764206
52lakh,0.17128485441207886
perfect,0.17117372155189514
8000mark,0.17062164843082428
people,0.17049796879291534
boy,0.16973987221717834
jaa,0.16932593286037445
standoff,0.1689930409193039
spears,0.1683758944272995
vienna,0.1683470755815506
malvi,0.1682252734899521
reception,0.1680111140012741
insulted,0.16785471141338348
youre,0.1678324192762375
infra,0.16781944036483765
ahead,0.16754835844039917
mehta,0.16750475764274597
vivo,0.1674811691045761
mad,0.16688747704029083
doesnt,0.1666937619447708
engineering,0.1664050966501236
holocaust,0.1661665141582489
1st,0.16565489768981934
enforce,0.16547082364559174
take,0.16536690294742584
underworld,0.1653355211019516
dramatic,0.16533157229423523
envoy,0.16518057882785797
samudram,0.16492204368114471
pompeo,0.1648760288953781
went,0.16485363245010376
placements,0.1647065430879593
helio,0.16455939412117004
unnecessary,0.16395977139472961
missing,0.16352617740631104
know,0.1629878580570221
spread,0.16245900094509125
privacyfirst,0.16209834814071655
